epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1787.57,0.46898,0.31386,0.94698,0.9996,1,0.995,0.98637,0.20035,0.15178,0.63466,0.0011486,0.0011486,0.0011486
45,1826.6,0.46495,0.30465,0.94699,0.99959,1,0.995,0.98725,0.18977,0.14956,0.62986,0.0011288,0.0011288,0.0011288
46,1865.56,0.47281,0.31805,0.94685,0.9996,1,0.995,0.97847,0.22397,0.15838,0.64457,0.001109,0.001109,0.001109
47,1904.35,0.46559,0.30434,0.94343,0.99958,1,0.995,0.98875,0.19575,0.18193,0.63406,0.0010892,0.0010892,0.0010892
48,1943.04,0.46086,0.30307,0.94035,0.9996,1,0.995,0.98945,0.18023,0.14606,0.62928,0.0010694,0.0010694,0.0010694
49,1982.14,0.4613,0.29666,0.93184,0.99961,1,0.995,0.9778,0.22708,0.1499,0.6435,0.0010496,0.0010496,0.0010496
50,2022.53,0.46381,0.30088,0.94049,0.99631,1,0.995,0.98541,0.18749,0.14609,0.62968,0.0010298,0.0010298,0.0010298
51,2062.83,0.44885,0.29452,0.93749,0.99961,1,0.995,0.98524,0.20889,0.14777,0.63241,0.00101,0.00101,0.00101
52,2103.11,0.44,0.28622,0.92833,0.9996,1,0.995,0.98474,0.20264,0.1481,0.63933,0.0009902,0.0009902,0.0009902
53,2143.28,0.45024,0.29479,0.93285,0.99959,1,0.995,0.98024,0.21427,0.14833,0.63342,0.0009704,0.0009704,0.0009704
54,2183.45,0.44461,0.29168,0.92946,0.9996,1,0.995,0.98304,0.22064,0.1526,0.63875,0.0009506,0.0009506,0.0009506
55,2222.8,0.43425,0.28631,0.93155,0.9996,1,0.995,0.97976,0.2145,0.15166,0.63168,0.0009308,0.0009308,0.0009308
56,2261.64,0.43489,0.28988,0.92583,0.9996,1,0.995,0.98746,0.20445,0.15025,0.62715,0.000911,0.000911,0.000911
57,2300.38,0.42557,0.28367,0.92193,0.9996,1,0.995,0.98769,0.18276,0.14001,0.62317,0.0008912,0.0008912,0.0008912
58,2339.23,0.41857,0.27559,0.92263,0.99961,1,0.995,0.98618,0.17461,0.1283,0.62261,0.0008714,0.0008714,0.0008714
59,2378.16,0.42013,0.27875,0.92314,0.99961,1,0.995,0.98653,0.19504,0.1359,0.63139,0.0008516,0.0008516,0.0008516
60,2416.91,0.40787,0.27444,0.91901,0.9996,1,0.995,0.99175,0.18485,0.13554,0.62466,0.0008318,0.0008318,0.0008318
61,2455.53,0.41311,0.27215,0.91999,0.99961,1,0.995,0.99009,0.17465,0.13,0.6203,0.000812,0.000812,0.000812
62,2494.07,0.41651,0.27284,0.92393,0.99959,1,0.995,0.98596,0.19161,0.13641,0.62124,0.0007922,0.0007922,0.0007922
63,2532.89,0.4087,0.26633,0.91928,0.9996,1,0.995,0.98629,0.19162,0.13365,0.61917,0.0007724,0.0007724,0.0007724
64,2573.14,0.40903,0.26491,0.91991,0.99961,1,0.995,0.99013,0.19864,0.13236,0.62249,0.0007526,0.0007526,0.0007526
65,2613.18,0.41288,0.2771,0.92315,0.99961,1,0.995,0.9879,0.17719,0.13196,0.62876,0.0007328,0.0007328,0.0007328
66,2653.16,0.41065,0.26611,0.92196,0.99961,1,0.995,0.9891,0.16928,0.12952,0.61566,0.000713,0.000713,0.000713
67,2693.43,0.39736,0.26192,0.91278,0.99961,1,0.995,0.98638,0.19992,0.13213,0.62312,0.0006932,0.0006932,0.0006932
68,2733.7,0.41179,0.26629,0.91985,0.99961,1,0.995,0.99036,0.18207,0.13538,0.62273,0.0006734,0.0006734,0.0006734
69,2772.86,0.39552,0.26099,0.91832,0.99961,1,0.995,0.991,0.18033,0.12201,0.62128,0.0006536,0.0006536,0.0006536
70,2811.59,0.37284,0.24808,0.90359,0.99961,1,0.995,0.99019,0.17736,0.12014,0.62337,0.0006338,0.0006338,0.0006338
71,2850.16,0.3894,0.25535,0.91335,0.99961,1,0.995,0.98911,0.18292,0.12801,0.62051,0.000614,0.000614,0.000614
72,2888.62,0.3823,0.24979,0.90434,0.99961,1,0.995,0.9933,0.18776,0.13099,0.62278,0.0005942,0.0005942,0.0005942
73,2927.7,0.38196,0.24697,0.90303,0.99962,1,0.995,0.98936,0.17987,0.13057,0.62264,0.0005744,0.0005744,0.0005744
74,2966.89,0.3754,0.25682,0.89946,0.99958,1,0.995,0.98381,0.18069,0.12988,0.61961,0.0005546,0.0005546,0.0005546
75,3005.51,0.38745,0.25513,0.91246,0.99961,1,0.995,0.98927,0.17454,0.12324,0.61628,0.0005348,0.0005348,0.0005348
76,3044.19,0.37368,0.24651,0.90597,0.99961,1,0.995,0.98685,0.18884,0.12784,0.62929,0.000515,0.000515,0.000515
77,3082.97,0.3624,0.24181,0.89643,0.99961,1,0.995,0.98291,0.20594,0.12887,0.63054,0.0004952,0.0004952,0.0004952
78,3122.84,0.36412,0.23728,0.89453,0.99961,1,0.995,0.98903,0.19617,0.12481,0.6248,0.0004754,0.0004754,0.0004754
